title,original_text,Support,replaced_text,paragraph
"Is It Time To End The Lockdown?
","The lockdown should stop
",1,"The lockdown should stop
","Maintaining the current lockdown in the US would only make things worse, asserts John Lee of The Spectator. It is crashing the economy, causing far more damage than the virus could. Around 99.9% of infected people recover. Of those who have died, 90% had pre-existing conditions. While the lockdown may prevent some infections, once it ends that may have been for nothing. People who aren't getting infected now might just get infected later. Countries that had harsh lockdowns might see new waves emerge as traveling resumes. The economic downturn resulting from maintaining the lockdown is going to cause great damage to health; we must end it."
"Is It Time To End The Lockdown?
","It's too dangerous to end it
",0,It's too dangerous to end the lockdown,"The current lockdown should stay in place until the COVID-19 situation gets better, argues Brian Resnick of Vox. The vast majority of Americans have yet to be infected and develop immunity. Ending quarantine measures could allow the virus to spread rapidly. We need to conduct more testing, contact tracing and isolate infected people more effectively. States just aren't doing enough testing to accurately analyze the spread and handle new outbreaks. For now, staying in isolation is the best solution. The number of infected is finally reaching its peak; we still need to continue lockdown measures to ensure that the virus's spread is curtailed."
"are biden's and kavanaugh's sexual abuse cases comparable?
","They are similar despite media bias
",1,"Biden’s and kavanaugh’s sexual abuse cases are similar despite media bias
","There are clear similarities between the Joe Biden and Brett Kavanaugh sexual assault cases, suggests J. Peder Zane of News Observer. Both women's complaints resemble one another and are hard to prove, as the alleged incidents happened decades ago. However, the media has covered Tara Reade's accusations against Biden far more skeptically. ABC, NBC, CNN and MSNBC didn't ask Biden about it in interviews shortly after Reade's story came out. Many outlets are showing clear bias in its coverage of these two stories. Kavanaugh was treated far more aggressively and his accuser was given far more support for political reasons.
"
"are biden's and kavanaugh's sexual abuse cases comparable?
","These cases are very different
",0,"Biden’s and kavanaugh’s sexual abuse cases are very different
","The sexual assault allegations against Joe Biden and Brett Kavanaugh are not comparable, holds Michelle Goldberg of The New York Times. Four people gave testimonies that Christine Blasey Ford had previously told them about being assaulted by Kavanaugh. Her therapist's notes and a polygraph test also backed her allegations up. Meanwhile, Tara Reade, Biden's accuser, indicated that she was timing her accusation to hurt him as much as possible in an old tweet. Her story also changed over the years. Neither of these points means she's clearly lying, however. Still, dropping Biden would take a lot more evidence than what has been presented so far.
"
"is andrew cuomo showing great leadership during the pandemic?
","Cuomo is doing everything right
",1,"Cuomo is doing everything right
","Gov. Andrew Cuomo has done an exemplary job of leading New York's response to COVID-19, writes Rob Asghar of Forbes. He has focused on delivering results, making his people safer, and embodying leadership that people can get behind. From the beginning, Cuomo has sought to speak all truths, painful or otherwise, with clarity, which is key during a pandemic. He has also put ideology aside and focused on what scientists say is the best solution. Cuomo is getting the people of New York to work together and show solidarity with one another. This decisive leadership during such a crucial moment is helping the state handle this terrible pandemic."
"is andrew cuomo showing great leadership during the pandemic?
","His policies are making things worse
",0,"Cuomo’s policies are making things worse
","While the media praises him for his leadership, Gov. Andrew Cuomo is enacting incredibly harmful policies during the COVID-19 crisis, asserts Akash Mehta of Jacobin Magazine. His government's latest budget cut billions from healthcare and kept tens of thousands in jail, which are hotbeds for infection. Cuomo is the first New York governor in almost 100 years that didn't raise taxes on the rich during a crisis. He did this even though higher taxes on the rich are favored by even 87% of New York's Republicans. Cuomo also ignored calls to improve public housing and protect tenants that can't pay rent. The media is sadly ignoring Cuomo's flawed decisions."
is trump right to blame china over the spread of covid-19?,"He is wrong to blame China
",0,"Trump is wrong to blame China
","President Trump is causing huge geopolitical tensions for no good reason by blaming China for the spread of COVID-19, asserts Simon Tisdall of The Guardian. He has also repeated the conspiracy theory that the coronavirus originated in a Chinese lab, which was debunked by the Pentagon. Trump must face the consequences of his own failures in handling this crisis and stop trying to shift the blame. This animosity could worsen the trade dispute between the US and China and inflame a new Cold War. The world needs its two richest and strongest nations to work together to defeat COVID-19, not bicker and point fingers at one another."
is trump right to blame china over the spread of covid-19?,"Trump is right about China
",1,"Trump is right about China
","President Trump is right to hold China accountable for its role in worsening the COVID-19 pandemic, writes Nadia Schadlow of The Atlantic. China's refusal to be transparent, especially in the early stages of the outbreak, prevented measures that could have slowed the spread of the coronavirus. Citizens in Wuhan were initially punished for ""spreading rumors"" about COVID-19. The Shanghai laboratory, which published the disease's genome was shut down. The truth about the danger of the virus was withheld for as long as possible. Trump is right to point out these failures. His critics need to recognize the problems with China's COVID-19 response."
should we end covid-19 security measures soon?,"We need to protect our economy
",1,"We need to protect our economy
","We should reopen America as soon as possible, holds Steve Hilton of Fox News. More testing needs to be done at the same time to understand the true danger of the coronavirus. It is likely more contagious but also less deadly than the current numbers suggest. With this information, the most vulnerable populations need to be identified and quarantined rather than putting this economic strain on the whole population. The current lockdown is killing businesses and causing huge economic damage, with 1 in 10 Americans having lost their jobs. Any lockdown is only effective while it remains in place, but we simply can't close down the country indefinitely."
should we end covid-19 security measures soon?,"The lockdown is still necessary
",0,"The lockdown is still necessary
","Ending the coronavirus lockdown too soon could result in a huge wave of deaths, report Peter Beaumont and Sam Jones of The Guardian. Doing so would nullify the benefits gained from implementing this policy in the first place. While everyone wants to see these taxing restrictions lifted, it has to be done only when the time is right. It would be wrong to focus solely on the economy or political implications; health is paramount here. Experts from the CDC and WHO have cautioned against allowing people to travel like they did before the coronavirus outbreak. Society should listen to its scientists and stay at home until we know it's safe to go out.
"
"is trump failing with his coronavirus response?
","Trump's failures are costing many lives
",1,"Trump's failures are costing many lives
","President Trump's mismanagement of COVID-19 has made things far worse, writes David Frum of The Atlantic. In the early days, while the coronavirus was still spreading, he played down the situation and claimed the virus would go away. While he was busy reassuring people about the stock market he should have been ordering supplies and preparing. Fox News repeated what he said, not because it was right, but to protect him, resulting in huge portions of the country underestimating the virus. America is doing far worse than other rich countries, and this comes from poor leadership. His lies and refusal to admit mistakes are resulting in a higher death count."
"is trump failing with his coronavirus response?
","The media is working to undermine him
",0,The media is working to undermine Trump,"The left-wing media has used the spread of COVID-19 to attack President Trump, asserts L. Brent Bozell III of The Washington Times. A New York Times reporter even went so far as suggesting we call it the ""Trumpvirus"" from now on. Instead of trying to unite the country behind the effort to fight this terrible disease, journalists focus on smearing the president. It is especially important now, in times of crisis, that the American people can look to the media for reliable and, most importantly, unbiased information. No matter what Trump does, he is attacked and derided. Readers should be aware of the inherent biases that cloud many outlets' coverage."
should we free certain prisoners to stem covid-19's spread?,"There are safer and better ways
",0,"There are safer and better ways
","While we need to address the serious issue of coronavirus in jails, releasing prisoners en masse is not the right solution, holds Jonathan S. Tobin of The New York Post. Rushing to empty our jails could create a public safety hazard just as bad as the virus. While some precautions to protect elderly prisoners should be put in place, violent criminals should not be given a chance to hurt others again. Additionally, they are not automatically guaranteed to stay at home and self-isolate. Police officers have already been given new guidelines due to the coronavirus, but they should to continue to be able to make arrests as needed to keep society safe.
"
should we free certain prisoners to stem covid-19's spread?,"It is in all of our best interests
",1,"Freeing certain prisoners is in all of our best interests
","Jails are hotbeds for disease. Outbreaks of COVID-19 in prisons will first harm the inmates there, and then the rest of society, writes Conor Friedersdorf of The Atlantic. Sick prisoners will flood and overwhelm our hospitals if we don't take the necessary precautions. American jails are already overcrowded, putting inmates and prison staff at high risk of infection. No spread will be contained in jails; coronavirus is bound to spread to the rest of society. It is essential to release certain prisoners, such as nonviolent and minor offenders, the elderly, and those nearing the end of their sentences, only so can we slow the spread of COVID-19 and save lives."
is trump right to prioritize the economy over covid-19?,"We can't sacrifice our economy
",1,"We can't sacrifice our economy
","President Trump is right to watch out for America’s economic health while we address the coronavirus, writes Patrick Buchanan of Real Clear Politics. Sending everyone home from work and telling them to social distance is going to choke the economy. While it is important to fight this virus as effectively as possible, shutting down the economy might prove even more damaging. American families rely on their income to house and feed themselves, not to mention take care of their medical needs. We shouldn’t cause more damage to our country than the coronavirus might cause out of fear. 
"
is trump right to prioritize the economy over covid-19?,"Saving lives should be paramount
",0,"Saving lives should be paramount
","President Trump is risking a huge coronavirus death toll with plans to ease the US lockdown, argues Jonathan Chait of New York Magazine. He appears to fear the economic damage from policies intended to prevent more contaminations. Easing current measures meant to fight COVID-19 would cost more lives. Some right-wing figures argue that we can’t undermine the economy due to this disease. But even easing social distancing and lockdown guidelines wouldn’t return America to a pre-coronavirus economy. Trump should prioritize the fight against COVID-19."
will covid-19 end trump's presidency?,"His failings are crystal clear
",1,"Trump’s failings are crystal clear
","President Trump’s huge mishandling of the COVID-19 epidemic is going to cost him the presidency, holds Peter Wehner of The Atlantic. He has downplayed it, shared dangerous misinformation, and led a delayed and insufficient reaction. All in all, he didn’t take it seriously for far too long, creating a false sense of security that has allowed the virus to spread further and further. He ignored warnings from his own officials and claimed that COVID-19 had been contained and “shut down,” neither of which were true, in a bid to reduce the economic damage it was causing. Trump’s mismanagement of this pandemic will result in more Americans dying and him losing reelection."
will covid-19 end trump's presidency?,"Trump is being a great leader
",0,"Trump is being a great leader
","President Trump has displayed great leadership during the COVID-19 outbreak, which Americans will remember, assert Roger Marshall and Rep. Brian Babin of the Washington Examiner. His ban on Chinese travel six weeks ago likely saved many lives. Many of Trump’s opponents have used this outbreak to attack him, even when he is responding effectively. He is containing it as quickly as possible and has set up a skilled Coronavirus Task Force that will help in doing so. Trump ensured that Medicare and Medicaid recipients would receive needed care and testing. He is doing everything right to stop COVID-19 from causing more damage, which will help him in the election."
"is trump making the coronavirus pandemic worse?
","Trump is fumbling coronavirus
",1,"Trump is fumbling coronavirus
","President Trump is making the coronavirus outbreak worse by downplaying it and spreading mistruths, suggests Jennifer Senior of The New York Times. He seems more concerned with optics over recognizing how dangerous this disease is. When health officials sought to warn older and physically fragile people against flying, Trump made them tone down their rhetoric. He stated that coronavirus testing was available to anyone that wanted it, which was untrue. Because of him, right-wing news outlets are also playing down the danger of coronavirus. Trump is focused on managing the optics of this situation when he should be prioritizing keeping Americans safe.
"
"is trump making the coronavirus pandemic worse?
","He is doing everything right
",0,"Trump is doing everything right
","Democrats are using the coronavirus to undermine Donald Trump politically, holds Kayleigh McEnany of Fox News. His response has been good; he issued a travel ban to prevent more infected people from entering the country, he announced mandatory quarantines and formed a special task force to address coronavirus. Still, Chuck Schumer and Elizabeth Warren wrongly accused Trump of having no plan. CNN has repeatedly used coronavirus to criticize him. In this time of crisis, which should bring the country together, Democrats are exposing their partisanship by attacking the president. Trump is doing everything possible to protect the US.
"
"is trump handling the coronavirus response well?
","Trump is protecting Americans
",1,"Trump is protecting Americans
","The notion that President Trump is mishandling the coronavirus outbreak is exaggerated, holds Miranda Devine of the New York Post. Mainstream media outlets haven't hesitated to use this outbreak to make him look bad. His first travel restrictions on Australia and Singapore were necessary but still got him criticism. False allegations were made that Trump had muzzled people in charge of health and safety. When he described the exaggeration of this disease by Democrats as a ""hoax,"" the media twisted his words to indicate he was talking about coronavirus itself. Trump is doing what he can to protect Americans, even though he is being smeared for it.
"
"is trump handling the coronavirus response well?
","He is making things far worse
",0,"Trump is making things far worse
","The Trump administration has mishandled the coronavirus in multiple ways, assert Will Peischel and Jessica Washington of Mother Jones. Already before the disease emerged, Trump made crucial cuts to the Center for Disease Control's budget and left a key anti-pandemic position vacant since 2018. He also incorrectly claimed that the number of US cases was decreasing, while his administration has spread other dangerous half-truths. Trump appointed Mike Pence to head the government's coronavirus task force even though he direly mishandled an HIV crisis in Indiana. He has tried to downplay this dangerous outbreak and is risking lives by mismanaging it."
"would bernie make a strong or weak presidential candidate?
","Bernie can beat Trump
",1,"Bernie can beat Trump
","Fearmongering over Bernie Sanders is overblown, holds Matthew Yglesias of Vox. His record in Congress shows that he knows how to govern effectively and make compromises when needed. His policies, painted as radical by many, strongly reflect the values of President Roosevelt, who oversaw an era of American success. Sanders has a very good chance of beating President Trump in a general election. He has consistently overcome his ""socialist"" label in elections, whether that be in Vermont or the first three Democratic primaries, in each of which he won the popular vote. No other candidate creates the enthusiasm that Sanders does, which can be seen by his repeated victories.
"
"would bernie make a strong or weak presidential candidate?
","He's too controversial
",0,"Bernie’s too controversial
","If the Democratic party chooses Bernie Sanders as its nominee, President Trump will be reelected, assert Jonathan Cowan and Matt Bennett of Third Way. His confidence in labeling himself a socialist is unarguably going to alienate a huge part of American voters. Republicans will run a huge campaign of attack ads that will exploit this major weakness. It is because of this that many of them hope he ends up being the nominee. Additionally, radical policies that Sanders has suggested over the years, from abolishing capitalism to halving the US military budget, will only come to haunt him. He is unprepared for the scrutiny that would await him in a general election.
"
"would mike bloomberg make a good president?
","The American people want Bloomberg
",1,"The American people want Bloomberg
","Michael Bloomberg is the ideal candidate to run for president, writes Michael Nutter in The Hill. His surge in the polls shows that his message is resonating with US voters. Some complain about the fact that Bloomberg is a self-funded billionaire, but this is an asset. It means that he is bound to no interests other than those of the American people, unlike Donald Trump. New York's highly successful mayor for 12 years, Bloomberg has the leadership skills that are needed to unite the country and take it forward. He has gotten around 120 endorsements by mayors, congressional representatives and governors. The American people are speaking clearly: The more they see of Bloomberg, the more they like him."
"would mike bloomberg make a good president?
","His NY police policies were controversial
",0,"Bloomberg’s NY police policies were controversial
","Michael Bloomberg is not fit to be president, believes Ross Barkan of Jacobin Magazine. It was under him that police abuses in New York flourished. He championed ""stop and frisk,"" terrorizing innocent minorities with aggressive police body searches that were deemed unconstitutional in 2013. The 2004 arrest of 1,800 people during a peaceful protest of the Republican National Convention, under his leadership, resulted in an $18 million settlement, partly due to violations in New York law. Bloomberg's crackdown on the 2011 Occupy Wall Street movement was heavily criticized. His policies increased homelessness and inequality. Bloomberg's past should disqualify him from becoming president."
"can sanders beat trump?
","Bernie is motivating voters
",1,"Bernie is motivating voters
","Bernie Sanders can absolutely defeat Donald Trump, write Meagan Day and Matt Karp of Jacobin Magazine. Americans chose Trump over Hillary Clinton, a centrist from the Democratic establishment who was correctly seen as someone who would maintain the status quo. Her inability to motivate voters resulted in low turnouts among Democrats, handing Trump victory. Sanders is creating a huge surge of enthusiasm across the country, crucially so in the Obama-voting counties that chose Trump in 2016. His ability to motivate groups, like young people and minorities, is unmatched. Coming from the outside, he offers a refreshing message that resonates with voters."
"can sanders beat trump?
","Bernie is too divisive to be president
",0,"Bernie is too divisive to be president
","Bernie Sanders is too risky of a candidate to beat Donald Trump, asserts Timothy Egan of the New York Times. While his ideas have fuelled a much-needed national conversation on healthcare and income inequality, Americans are uneasy about a democratic socialist in the White House. Whether he can replicate his popularity among young people with the rest of the population in a general election is doubtful. Additionally, his politics will make him a major target for Republicans, who will go after him with everything they have. The 'socialism' label will hurt him here and give Trump a major advantage. Democrats need to choose a more unifying candidate.
"
"are we overreacting to the wuhan coronavirus?
","So far, the common cold is still deadlier
",1,"So far, the common cold is still deadlier
","The current global panic about coronavirus is likely overblown, holds Holly Secon of Business Insider. Even though the virus has a very low fatality rate, people are reacting with disproportionate fear because it is new and relatively unknown. In the US, the average person is more likely to die from the common flu. Many people that contracted coronavirus have already recovered. So far, its mortality rate is around 2%, lower than SARS, which caused a similar panic. This is a natural psychological reaction, fearing a new and unknown disease. However, coronavirus appears to be a lot less threatening than some may believe."
"are we overreacting to the wuhan coronavirus?
","There is a serious risk of rapid spreading
",0,"There is a serious risk of rapid spreading
","The coronavirus could prove to be incredibly devastating if not countered effectively, asserts Hassan Damluji in the Gulf News. While the disease is relatively contained, for now, the fact that we don't fully understand it means it could spread in unforeseen ways. The biggest risk is posed by coronavirus reaching countries whose health infrastructure isn't prepared to detect, contain and treat it. In our growingly interconnected world, such a scenario poses a risk to all countries. Diseases can spread rapidly, especially if those infected don't show symptoms right away. Coronavirus is still far away from many countries, but that can change very quickly.
"
"how should we discuss rape allegations after kobe's death?
","We have to be honest for the victim
",0,"We have to be honest for the victim
","The serious rape allegation against Kobe Bryant should be part of any discussion about his legacy, holds Jill Filipovic of Buzzfeed News. While it doesn't necessarily need to overshadow all the good he did, understanding that he was a complex character with good and bad traits is important. While some may see this as insensitive, one must also remember the perspective of the alleged victim, who now sees the face of her alleged abuser everywhere, as he is praised and celebrated. Women like her are constantly erased by rich and powerful men. Many people want to see Bryant as exclusively good, but the reality is just more complicated.
"
"how should we discuss rape allegations after kobe's death?
","Kobe was far bigger than just this
",1,"Kobe was far bigger than just this
","The death of Kobe Bryant came as a major shock to most of society. The immediate aftermath of such a tragedy is not the most sensitive time to discuss the past rape allegation against him, asserts Tiana Lowe of The Washington Examiner. While it is still serious and believable, painting this man who did a great deal of good as an alleged rapist first and foremost, is not right. Key here is that Bryant made a public apology, acknowledging the voice of his accuser. While that can't excuse him, he appeared to go through reckoning and then growth. In death, we should celebrate what he achieved, and leave a bit of time before discussing his darkest moment.
"
"is the democrats' push for impeachment justified?
","They seek truth & justice
",1,"Democrats seek truth & justice
","Democrats are right to push for an impeachment trial, asserts Renato Mariotti of Politico. It is clear now that President Trump withheld military aid to Ukraine to get it to help him politically. However, it appears that the Senate won't conduct a necessary investigation of the facts. Senate Republicans are not the jurors this case needs, their goals being aligned with those of Trump. They are likely to push through impeachment proceedings as fast as possible to protect him. Therefore, even if this process ends without Trump being found guilty, investigations into his actions should continue. His wrongdoing should be judged by a neutral entity, not one that includes allies.
"
"is the democrats' push for impeachment justified?
","It's a partisan show of bias
",0,"The impeachment is a partisan show of bias
","The impeachment process is not being run in an impartial manner. Democrats are indicating that personal biases are guiding their judgment, holds Cal Thomas of The Washington Times. The core of their argument, accusing Donald Trump of ""high crimes and misdemeanors,"" doesn't hold up to scrutiny. This charge is very abstract and has never been interpreted the way that Democrats are trying to. The original language was used to mean serious harm against the public. Today, that allegation doesn't accurately describe Trump's call to Ukraine's president. It appears that this impeachment trial has become a matter of partisanship, not enforcing the law.
"
"who should lead democrats, warren or sanders?
","Warren offers much-needed unity
",1,"Warren offers much-needed unity
","Elizabeth Warren would be the ideal candidate to unite Democrats, asserts Michelle Goldberg of The New York Times. As the party is still being pulled in different directions, namely that of Joe Biden and Bernie Sanders, Warren represents a consensus that both sides would find palatable. Crucial here is to unite the Democratic party as soon as possible and avoid a highly damaging contested convention. A showdown between Sanders and Biden could become vicious due to the animosity between their supporters. Warren knows the internal workings of her party and can use it to get things done, while also holding key progressive values.
"
"who should lead democrats, warren or sanders?
","Bernie champions the right causes
",0,"Bernie champions the right causes
","Bernie Sanders is the perfect leader to take the country in a new direction, holds Arslan Malik of The New Statesman. While many Democrats want to focus on simply getting Trump out, he is merely a symptom of a system that doesn’t work for its people. It needs to be overhauled, and no candidate addresses key issues like income inequality and climate change better than Sanders. He shuns the corporate funds that many other candidates accept. No other candidate has the grassroots support that he does. Democrats saw what happened when they chose a moderate candidate in 2016. Sanders is the right man to lead America forward."
"was trump right to kill soleimani?
","This seriously hurts American interests
",0,"Killing soleimani seriously hurts American interests
","President Trump's decision to kill Iranian general Qasem Soleimani was highly excessive and leaves the US in a much worse position in the Middle East, suggests Peter Bergen of CNN. It is now highly likely that Iran will respond with continued attacks on US military sites. To prevent this, Trump has gone to the extreme of threatening to destroy Iranian cultural sites, a war crime. Protests in Iraq, which were previously directed at the Iraqi government and Iran, are now directed at America. Iraq's parliament voted to rid itself of the US military presence. Whatever benefits killing Soleimani may have had, they are outweighed by an abundance of downsides.
"
"was trump right to kill soleimani?
","Iran's belligerence merited a response 
",1,"Iran's belligerence merited a response 
","President Trump was right to kill Iran's Qasem Soleimani, holds Bill Rivers of NBC News. The argument that this will cause US deaths at the hands of Iran is flawed, this was already happening. In fact, Soleimani had a leading hand in the killing of at least 500 US service members in Iraq. Iran is leading a longstanding underground campaign against US forces, the latest example being the recent attack on the US embassy in Iraq. Soleimani himself was involved in arming militants in Iraq, Yemen, Lebanon and Gaza, all of which were fighting US or US-allied forces. With him gone, Iran's aggressive terror capacities have been seriously limited."
"should the senate take trump to trial?
","It would reveal the full truth
",1,"Trial would reveal the full truth
","It would be in the interest of the American public for the Senate to take President Trump to trial, asserts Doug Jones in MSN News. Paramount would be the testimony of four key witnesses. They have inside knowledge of exchanges with Ukraine and would help bring the full truth to light. One of them is former national security adviser John Bolton, who resigned after a meeting with Ukrainian officials, calling it a “drug deal” he didn’t want to be a part of. His version of events must be heard. The Senate should lead a detailed trial in order to fully establish whether Trump abused his power. There should be a bipartisan desire to find out what really happened.
"
"should the senate take trump to trial?
","There is little basis for a trial
",0,"There is little basis for a trial
","The Senate should dismiss impeachment without a trial, writes Christopher Roach of American Greatness. This is due to the clear partisanship that Congress displayed when voting to impeach President Trump. US Senators would be justified to dismiss an indictment because of flaws in the investigation. Partisanship in the initiation of this impeachment trial as well as the lack of a real criminal offense could be reasons to stop it. Going to trial would be expensive and could be a major burden on the presidency. The Senate should only go ahead with it if it sees real evidence that Trump abused his power. Currently, there is little to prove this allegation.
"
"will impeachment burden or benefit trump?
","It is boosting Trump's support
",1,"Impeachment is boosting Trump's support
","The partisan way in which impeachment proceedings were run has brought Americans closer to President Trump, suggests Adam Goodman of Fox News. The inability to prove his guilt has made people skeptical of Democrats. The political bias that fueled impeachment has driven people to Trump. Polls have shown that being impeached resulted in his poll numbers going up, not down. While the economy has surged, Democrats have spread division with identity politics. By doing everything possible to undermine Trump, they alienated valuable voters that they should be winning over, particularly in battleground states.
"
"will impeachment burden or benefit trump?
","It will hurt his reelection hopes
",0,"Impeachment will hurt his reelection hopes
","Impeachment has already and is continuing to damage President Trump, asserts Jamelle Bouie of The New York Times. While he maintains that it won’t affect him, his fierce resistance to and criticism of the process showed that it certainly got to him. If he had ever seen it as something ineffective, he would not have tried to stop it so desperately. While Trump probably won’t be removed from office, impeachment is a clear stain on his presidency, one that will hurt his reelection chances. Most Americans agreed with it in the end. Some call this a partisan process, but it has always been, whether in the days of Andrew Johnson or Bill Clinton.
"
"is trump's anti-semitism bill warranted?
","Trump is rightly protecting Jews
",1,"Trump is rightly protecting Jews
","President Trump's executive order against anti-Semitism is a much-needed protection of US Jews, asserts Jonathan S. Tobin of National Review. While criticism of Israel is not inherently wrong or anti-Semitic, some colleges allowed outright bigotry on their campuses. In particular, the BDS (Boycott Divest Sanction) movement, which targets Israel exclusively, often crosses the line from legitimate criticism to anti-Semitism. Reeling in such hate is a good thing. Additionally, Trump's bill only enacts policies that previous administrations had proposed to protect Jews from discrimination. Anti-Semitism must be fought, however it may express itself.
"
"is trump's anti-semitism bill warranted?
","This violates freedom of speech
",0,"Trump violates freedom of speech
","President Trump is trying to blur the lines between legitimate criticism of the state of Israel and anti-Semitism, writes Masha Gessen of The New Yorker. Calling out Israel's illegal occupation of Palestine is warranted; Jews themselves are among the loudest critics in this regard. Trump's executive order seeks to stifle free speech on US campuses and will drown out legitimate and much-needed conversations about the Israeli-Palestinian conflict. Anti-Semitism in the US is real and must be addressed, but this bill has other priorities. It appears that Trump is prioritizing Israel over US Jews, as his own rhetoric has anti-Semitic undertones.
"
